,client_id,account_id,district_id,loan_id,amount,district_name
0,2166,1787,30,5314,96396,Sokolov
1,2181,1801,46,5316,165960,Nachod
2,11314,9188,45,6863,127080,Jicin
3,2235,1843,14,5325,105804,Ceske Budejovice
4,13490,10973,18,7235,154416,Pisek
5,12755,10364,55,7121,21924,Brno - venkov
6,8091,6701,5,6356,95400,Kolin
7,3264,2705,63,5523,93888,Vyskov
8,8598,7123,46,6456,47016,Nachod
9,11372,9236,11,6876,86616,Praha - zapad
10,3,2,1,4959,80952,Hl.m. Praha
11,2,2,1,4959,80952,Hl.m. Praha
12,3001,2486,1,5479,24516,Hl.m. Praha
13,1286,1071,52,5170,253200,Usti nad Orlici
14,13658,11111,59,7259,108144,Kromeriz
15,1944,1603,31,5285,78936,Tachov
16,1404,1166,11,5189,149040,Praha - zapad
17,9973,8073,24,6650,49320,Karlovy Vary
18,13447,10940,13,7226,197748,Rakovnik
19,13687,11135,75,7262,182628,Prerov
20,3252,2694,52,5519,91632,Usti nad Orlici
21,3251,2694,52,5519,91632,Usti nad Orlici
22,9273,7485,39,6520,91200,Most
23,10287,8330,48,6699,7656,Rychnov nad Kneznou
24,12396,10079,62,7055,167100,Uherske Hradiste
25,12397,10079,62,7055,167100,Uherske Hradiste
26,976,813,16,5130,24312,Jindrichuv Hradec
27,3543,2933,10,5568,272520,Praha - vychod
28,3542,2933,10,5568,272520,Praha - vychod
29,7815,6473,4,6316,76908,Kladno
30,9236,7454,31,6512,63312,Tachov
31,211,173,66,5002,104808,Zdar nad Sazavou
32,210,173,66,5002,104808,Zdar nad Sazavou
33,9946,8051,31,6647,208320,Tachov
34,12843,10439,66,7137,151560,Zdar nad Sazavou
35,7166,5927,15,6210,87216,Cesky Krumlov
36,13603,11065,46,7249,69360,Nachod
37,10555,8558,1,6736,288360,Hl.m. Praha
38,2195,1811,68,5319,239460,Frydek - Mistek
39,4056,3354,63,5657,4980,Vyskov
40,3335,2762,11,5533,111384,Praha - zapad
41,6318,5228,77,6066,173808,Vsetin
42,3414,2824,11,5549,50460,Praha - zapad
43,512,426,60,5060,252060,Prostejov
44,5965,4937,50,6004,143904,Svitavy
45,946,790,54,5126,208128,Brno - mesto
46,13412,10911,1,7220,131292,Hl.m. Praha
47,2635,2176,67,5395,299088,Bruntal
48,11195,9093,58,6836,189300,Jihlava
49,11574,9403,1,6919,120888,Hl.m. Praha
50,11208,9104,10,6841,172080,Praha - vychod
51,10510,8519,23,6729,74688,Cheb
52,10511,8519,23,6729,74688,Cheb
53,10199,8260,31,6686,224604,Tachov
54,3688,3050,49,5595,82896,Semily
55,3687,3050,49,5595,82896,Semily
56,4428,3674,38,5723,23628,Louny
57,5337,4427,1,5882,87816,Hl.m. Praha
58,4621,3834,54,5754,23052,Brno - mesto
59,9844,7965,55,6624,71460,Brno - venkov
60,9845,7965,55,6624,71460,Brno - venkov
61,7299,6040,1,6229,11736,Hl.m. Praha
62,11063,8982,64,6808,227880,Zlin
63,11064,8982,64,6808,227880,Zlin
64,1216,1012,65,5161,98184,Znojmo
65,2623,2167,16,5390,170256,Jindrichuv Hradec
66,7241,5991,57,6223,61056,Hodonin
67,352,290,56,5032,123696,Breclav
68,8610,7133,55,6460,48672,Brno - venkov
69,9933,8041,74,6645,140400,Ostrava - mesto
70,1327,1106,20,5176,192552,Strakonice
71,1851,1527,31,5269,164052,Tachov
72,2403,1978,1,5351,205200,Hl.m. Praha
73,2834,2345,52,5450,199680,Usti nad Orlici
74,7753,6425,70,6306,36684,Karvina
75,7521,6226,74,6272,398640,Ostrava - mesto
76,421,344,54,5044,100980,Brno - mesto
77,3576,2962,1,5576,31248,Hl.m. Praha
78,13201,10738,31,7192,115992,Tachov
79,9316,7523,63,6526,288468,Vyskov
80,3829,3166,59,5624,177744,Kromeriz
81,7390,6118,1,6244,270648,Hl.m. Praha
82,980,816,40,5131,48624,Teplice
83,11867,9640,1,6960,76416,Hl.m. Praha
84,2719,2245,29,5418,347952,Rokycany
85,9715,7857,35,6598,68112,Jablonec n. Nisou
86,2922,2419,43,5464,95808,Hradec Kralove
87,9670,7819,38,6591,20832,Louny
88,7814,6472,61,6315,43164,Trebic
89,5318,4413,74,5876,221280,Ostrava - mesto
90,7672,6353,26,6294,79920,Plzen - mesto
91,981,817,5,5132,538500,Kolin
92,7286,6030,47,6227,28248,Pardubice
93,13548,11021,1,7241,168984,Hl.m. Praha
94,12145,9869,2,7004,331560,Benesov
95,1505,1247,65,5208,99696,Znojmo
96,3705,3064,1,5599,15420,Hl.m. Praha
97,9418,7607,1,6546,31728,Hl.m. Praha
98,9419,7607,1,6546,31728,Hl.m. Praha
99,2700,2228,34,5414,185952,Chomutov
100,2853,2361,28,5453,156672,Plzen - sever
101,4527,3752,1,5740,18564,Hl.m. Praha
102,4916,4079,52,5804,158976,Usti nad Orlici
103,2422,1993,68,5352,68400,Frydek - Mistek
104,6798,5628,61,6151,225420,Trebic
105,2136,1762,28,5310,248148,Plzen - sever
106,424,347,1,5045,187224,Hl.m. Praha
107,11662,9472,76,6929,36396,Sumperk
108,1157,960,4,5151,189060,Kladno
109,1516,1256,38,5212,71064,Louny
110,1029,854,1,5138,87216,Hl.m. Praha
111,8678,7190,49,6474,63360,Semily
112,10475,8489,51,6725,265320,Trutnov
113,12844,10440,45,7138,60000,Jicin
114,5761,4774,66,5970,465072,Zdar nad Sazavou
115,5760,4774,66,5970,465072,Zdar nad Sazavou
116,6829,5650,10,6157,98592,Praha - vychod
117,4217,3489,9,5693,44088,Nymburk
118,5701,4727,2,5959,107640,Benesov
119,5826,4825,15,5980,21396,Cesky Krumlov
120,1663,1375,19,5237,45336,Prachatice
121,10479,8492,2,6726,85860,Benesov
122,1102,915,72,5145,309552,Olomouc
123,13451,10942,44,7227,314520,Chrudim
124,9721,7861,34,6600,21852,Chomutov
125,10382,8405,20,6712,266220,Strakonice
126,12417,10093,1,7057,231696,Hl.m. Praha
127,8130,6738,62,6362,37908,Uherske Hradiste
128,9346,7546,43,6535,41952,Hradec Kralove
129,2831,2343,68,5449,99336,Frydek - Mistek
130,7980,6609,16,6342,60156,Jindrichuv Hradec
131,2687,2218,19,5409,182040,Prachatice
132,2686,2218,19,5409,182040,Prachatice
133,11851,9627,65,6955,244368,Znojmo
134,945,789,39,5125,73056,Most
135,944,789,39,5125,73056,Most
136,4918,4081,11,5805,137904,Praha - zapad
137,6987,5774,1,6185,31176,Hl.m. Praha
138,8359,6924,74,6403,194880,Ostrava - mesto
139,2699,2227,31,5413,92976,Tachov
140,2698,2227,31,5413,92976,Tachov
141,11795,9583,31,6949,104712,Tachov
142,6946,5742,74,6178,232560,Ostrava - mesto
143,1215,1011,45,5160,204000,Jicin
144,6186,5126,58,6043,20352,Jihlava
145,3014,2496,51,5482,165120,Trutnov
146,3013,2496,51,5482,165120,Trutnov
147,4584,3804,7,5750,63252,Melnik
148,6115,5066,13,6027,61656,Rakovnik
149,9995,8092,54,6659,56100,Brno - mesto
150,6936,5735,52,6175,290700,Usti nad Orlici
151,3764,3112,38,5610,123216,Louny
152,3763,3112,38,5610,123216,Louny
153,3519,2912,74,5563,380160,Ostrava - mesto
154,5860,4852,47,5989,213300,Pardubice
155,10282,8327,1,6698,247728,Hl.m. Praha
156,2148,1772,31,5312,202788,Tachov
157,11105,9017,70,6816,100224,Karvina
158,6731,5574,13,6137,44628,Rakovnik
159,968,808,69,5128,215616,Jesenik
160,2966,2456,65,5470,200976,Znojmo
161,3670,3037,44,5593,277884,Chrudim
162,2392,1967,26,5350,249312,Plzen - mesto
163,6299,5213,1,6063,320976,Hl.m. Praha
164,2843,2352,70,5452,49440,Karvina
165,25,19,21,4961,30276,Tabor
166,78,67,16,4973,165960,Jindrichuv Hradec
167,9427,7614,62,6550,320592,Uherske Hradiste
168,9428,7614,62,6550,320592,Uherske Hradiste
169,1134,940,37,5148,284280,Litomerice
170,1133,940,37,5148,284280,Litomerice
171,10543,8547,14,6734,173016,Ceske Budejovice
172,6544,5422,66,6109,368880,Zdar nad Sazavou
173,6545,5422,66,6109,368880,Zdar nad Sazavou
174,3103,2572,64,5494,360000,Zlin
175,2141,1766,28,5311,30060,Plzen - sever
176,2809,2322,33,5445,46320,Decin
177,2063,1698,68,5301,141948,Frydek - Mistek
178,10702,8680,17,6751,85716,Pelhrimov
179,10703,8680,17,6751,85716,Pelhrimov
180,10041,8127,37,6667,155880,Litomerice
181,2746,2268,1,5429,20196,Hl.m. Praha
182,4434,3679,64,5725,444864,Zlin
183,4435,3679,64,5725,444864,Zlin
184,8433,6985,38,6421,96768,Louny
185,8432,6985,38,6421,96768,Louny
186,1020,846,72,5136,187104,Olomouc
187,2289,1886,32,5337,162468,Ceska Lipa
188,2288,1886,32,5337,162468,Ceska Lipa
189,3114,2580,60,5495,89340,Prostejov
190,3113,2580,60,5495,89340,Prostejov
191,7594,6289,64,6283,85632,Zlin
192,655,544,32,5088,91152,Ceska Lipa
193,5858,4851,52,5988,141648,Usti nad Orlici
194,5859,4851,52,5988,141648,Usti nad Orlici
195,1917,1583,69,5282,388512,Jesenik
196,5606,4650,4,5938,402000,Kladno
197,3730,3084,59,5606,253512,Kromeriz
198,2593,2143,1,5385,71460,Hl.m. Praha
199,2592,2143,1,5385,71460,Hl.m. Praha
200,3616,2994,77,5586,48744,Vsetin
201,13231,10762,1,7194,68832,Hl.m. Praha
202,10528,8533,47,6732,174048,Pardubice
203,9798,7926,69,6613,84120,Jesenik
204,2708,2236,73,5415,139464,Opava
205,2550,2106,1,5375,101520,Hl.m. Praha
206,5527,4585,27,5923,64656,Plzen - jih
207,2259,1862,19,5329,396120,Prachatice
208,603,501,13,5082,262980,Rakovnik
209,11596,9422,70,6921,86184,Karvina
210,2501,2062,70,5366,86184,Karvina
211,4530,3754,37,5741,68544,Litomerice
212,159,132,40,4996,88440,Teplice
213,158,132,40,4996,88440,Teplice
214,5977,4948,43,6006,359760,Hradec Kralove
215,3768,3115,14,5611,321180,Ceske Budejovice
216,3767,3115,14,5611,321180,Ceske Budejovice
217,11754,9548,62,6944,46176,Uherske Hradiste
218,1509,1250,62,5209,182640,Uherske Hradiste
219,2606,2153,31,5388,61560,Tachov
220,6015,4981,54,6011,179328,Brno - mesto
221,3649,3021,10,5591,155616,Praha - vychod
222,11122,9030,72,6818,155616,Olomouc
223,11121,9030,72,6818,155616,Olomouc
224,3855,3189,29,5625,222180,Rokycany
225,13480,10963,16,7233,115812,Jindrichuv Hradec
226,6922,5724,14,6173,232560,Ceske Budejovice
227,6750,5591,9,6142,221880,Nymburk
228,2451,2018,42,5358,38520,Havlickuv Brod
229,6469,5358,4,6095,68340,Kladno
230,11381,9242,57,6878,23184,Hodonin
231,9457,7637,46,6554,390096,Nachod
232,992,825,19,5134,53076,Prachatice
233,2720,2246,1,5419,415800,Hl.m. Praha
234,4055,3353,74,5656,146064,Ostrava - mesto
235,11686,9494,21,6934,116832,Tabor
236,8392,6950,36,6415,475680,Liberec
237,2721,2247,24,5420,72504,Karlovy Vary
238,1501,1244,68,5207,35904,Frydek - Mistek
239,12739,10351,23,7115,88704,Cheb
240,4177,3455,34,5682,67464,Chomutov
241,5642,4681,70,5942,162624,Karvina
242,2581,2134,52,5382,22932,Usti nad Orlici
243,5565,4618,3,5931,66696,Beroun
244,9505,7674,1,6562,94488,Hl.m. Praha
245,12358,10049,17,7046,91632,Pelhrimov
246,4786,3967,54,5784,84600,Brno - mesto
247,811,675,58,5110,102240,Jihlava
248,810,675,58,5110,102240,Jihlava
249,1511,1252,13,5210,148140,Rakovnik
250,13468,10954,25,7230,18720,Klatovy
251,13469,10954,25,7230,18720,Klatovy
252,215,176,71,5005,27456,Novy Jicin
253,11359,9225,11,6871,164256,Praha - zapad
254,2489,2051,64,5363,293880,Zlin
255,568,472,8,5072,196800,Mlada Boleslav
256,8276,6856,43,6386,124344,Hradec Kralove
257,4652,3859,53,5758,307200,Blansko
258,384,314,15,5039,66840,Cesky Krumlov
259,383,314,15,5039,66840,Cesky Krumlov
260,3326,2754,57,5532,335280,Hodonin
261,2841,2350,18,5451,159744,Pisek
262,3471,2872,1,5556,268320,Hl.m. Praha
263,5618,4660,63,5940,106944,Vyskov
264,12750,10361,21,7119,86880,Tabor
265,1755,1447,65,5253,100080,Znojmo
266,11250,9138,26,6851,272220,Plzen - mesto
267,4133,3418,42,5674,207264,Havlickuv Brod
268,4132,3418,42,5674,207264,Havlickuv Brod
269,3038,2516,6,5486,466608,Kutna Hora
270,1311,1093,54,5174,385104,Brno - mesto
271,9834,7957,51,6621,42900,Trutnov
272,8502,7045,51,6435,288720,Trutnov
273,11911,9677,8,6970,31620,Mlada Boleslav
274,7772,6440,1,6310,34572,Hl.m. Praha
275,1533,1270,55,5214,74772,Brno - venkov
276,533,442,54,5063,357840,Brno - mesto
277,389,319,47,5041,369000,Pardubice
278,631,525,70,5086,210384,Karvina
279,1852,1528,50,5270,191088,Svitavy
280,10355,8381,14,6705,333648,Ceske Budejovice
281,10778,8742,70,6758,33144,Karvina
282,4937,4099,54,5808,41856,Brno - mesto
283,2560,2116,70,5377,92400,Karvina
284,2822,2334,50,5446,48312,Svitavy
285,117,97,74,4986,102876,Ostrava - mesto
286,116,97,74,4986,102876,Ostrava - mesto
287,12133,9859,27,7001,300600,Plzen - jih
288,10023,8114,59,6665,99300,Kromeriz
289,9370,7565,59,6541,153504,Kromeriz
290,861,718,1,5117,76944,Hl.m. Praha
291,6473,5362,76,6097,202848,Sumperk
292,2621,2165,51,5389,78600,Trutnov
293,11598,9424,54,6922,83628,Brno - mesto
294,2503,2064,54,5367,83628,Brno - mesto
295,5050,4190,62,5830,405780,Uherske Hradiste
296,2291,1888,6,5338,57360,Kutna Hora
297,9775,7907,70,6612,97392,Karvina
298,1609,1329,53,5229,23520,Blansko
299,1608,1329,53,5229,23520,Blansko
300,9846,7966,54,6625,473280,Brno - mesto
301,1499,1242,74,5206,128544,Ostrava - mesto
302,132,110,36,4990,162576,Liberec
303,2523,2080,74,5369,214596,Ostrava - mesto
304,2522,2080,74,5369,214596,Ostrava - mesto
305,1662,1374,53,5236,389136,Blansko
306,12378,10065,76,7050,311232,Sumperk
307,8089,6699,35,6355,127200,Jablonec n. Nisou
308,3325,2753,26,5531,66432,Plzen - mesto
309,3324,2753,26,5531,66432,Plzen - mesto
310,2316,1906,1,5343,44952,Hl.m. Praha
311,458,378,68,5051,230400,Frydek - Mistek
312,4754,3942,27,5779,107352,Plzen - jih
313,9987,8085,73,6655,260400,Opava
314,4170,3448,58,5681,68664,Jihlava
315,13803,11231,1,7277,89280,Hl.m. Praha
316,10075,8158,48,6675,238716,Rychnov nad Kneznou
317,2648,2187,9,5398,53472,Nymburk
318,2647,2187,9,5398,53472,Nymburk
319,5699,4725,73,5956,168264,Opava
320,2823,2335,70,5447,541200,Karvina
321,1913,1580,69,5281,194256,Jesenik
322,799,666,27,5103,12540,Plzen - jih
323,798,666,27,5103,12540,Plzen - jih
324,3606,2986,63,5584,24792,Vyskov
325,124,103,44,4988,265320,Chrudim
326,4024,3329,3,5651,19248,Beroun
327,31,25,68,4962,30276,Frydek - Mistek
328,5232,4342,74,5862,100128,Ostrava - mesto
329,13262,10789,75,7199,45768,Prerov
330,9403,7594,16,6544,130464,Jindrichuv Hradec
331,5580,4631,77,5933,87528,Vsetin
332,415,339,46,5043,468060,Nachod
333,414,339,46,5043,468060,Nachod
334,2952,2445,52,5469,293160,Usti nad Orlici
335,5788,4794,72,5976,465504,Olomouc
336,6764,5602,19,6147,177504,Prachatice
337,7434,6157,34,6254,247920,Chomutov
338,4768,3953,1,5782,63576,Hl.m. Praha
339,7339,6075,19,6237,407952,Prachatice
340,12468,10134,22,7067,136368,Domazlice
341,2205,1819,55,5320,143676,Brno - venkov
342,5563,4616,1,5930,66696,Hl.m. Praha
343,8738,7240,17,6486,152160,Pelhrimov
344,1706,1407,19,5245,125472,Prachatice
345,1705,1407,19,5245,125472,Prachatice
346,9929,8038,47,6643,35856,Pardubice
347,1793,1480,41,5260,123300,Usti nad Labem
348,3546,2936,3,5569,504000,Beroun
349,12850,10445,72,7139,23412,Olomouc
350,2471,2035,53,5360,176328,Blansko
351,2470,2035,53,5360,176328,Blansko
352,1986,1638,6,5287,64224,Kutna Hora
353,1985,1638,6,5287,64224,Kutna Hora
354,12485,10148,34,7072,22104,Chomutov
355,2267,1869,1,5332,37944,Hl.m. Praha
356,9880,7997,10,6633,160656,Praha - vychod
357,11638,9455,73,6926,374760,Opava
358,5376,4456,14,5889,321240,Ceske Budejovice
359,4672,3875,44,5765,153936,Chrudim
360,939,785,21,5124,156096,Tabor
361,3073,2545,1,5491,428784,Hl.m. Praha
362,3072,2545,1,5491,428784,Hl.m. Praha
363,1051,873,73,5140,178500,Opava
364,12802,10404,1,7129,194280,Hl.m. Praha
365,2591,2142,42,5384,23328,Havlickuv Brod
366,2590,2142,42,5384,23328,Havlickuv Brod
367,11286,9167,56,6859,272220,Breclav
368,4099,3390,12,5665,40632,Pribram
369,8777,7274,11,6495,49044,Praha - zapad
370,530,440,29,5061,84288,Rokycany
371,4712,3907,37,5773,133848,Litomerice
372,10159,8225,50,6682,36204,Svitavy
373,11875,9646,1,6962,279072,Hl.m. Praha
374,1208,1004,70,5158,188532,Karvina
375,1300,1083,45,5172,50976,Jicin
376,3602,2982,19,5582,41256,Prachatice
377,3601,2982,19,5582,41256,Prachatice
378,7325,6062,24,6235,321360,Karlovy Vary
379,46,38,19,4968,110736,Prachatice
380,3285,2720,2,5525,93888,Benesov
381,3284,2720,2,5525,93888,Benesov
382,10828,8784,1,6766,74352,Hl.m. Praha
383,11362,9227,51,6872,191580,Trutnov
384,9569,7733,19,6571,140064,Prachatice
385,3801,3143,38,5616,130896,Louny
386,3800,3143,38,5616,130896,Louny
387,1130,938,70,5147,22260,Karvina
388,3164,2622,1,5501,136344,Hl.m. Praha
389,3163,2622,1,5501,136344,Hl.m. Praha
390,2153,1776,36,5313,43200,Liberec
391,7324,6061,1,6234,5148,Hl.m. Praha
392,13290,10812,16,7202,140688,Jindrichuv Hradec
393,13291,10812,16,7202,140688,Jindrichuv Hradec
394,4183,3460,16,5683,140688,Jindrichuv Hradec
395,370,303,71,5034,112752,Novy Jicin
396,2759,2279,2,5435,314688,Benesov
397,3629,3005,42,5589,390000,Havlickuv Brod
398,10654,8639,46,6746,185640,Nachod
399,10988,8919,62,6790,76104,Uherske Hradiste
400,10987,8919,62,6790,76104,Uherske Hradiste
401,13417,10915,25,7221,152460,Klatovy
402,3294,2728,52,5527,156420,Usti nad Orlici
403,3822,3161,48,5620,30012,Rychnov nad Kneznou
404,4993,4144,1,5823,212976,Hl.m. Praha
405,4994,4144,1,5823,212976,Hl.m. Praha
406,4114,3403,63,5669,71820,Vyskov
407,1197,993,6,5154,108720,Kutna Hora
408,3609,2988,66,5585,88608,Zdar nad Sazavou
409,3608,2988,66,5585,88608,Zdar nad Sazavou
410,404,330,42,5042,331584,Havlickuv Brod
411,403,330,42,5042,331584,Havlickuv Brod
412,272,226,70,5015,109344,Karvina
